sample_idx,seed,strategy,ok,error,completion_rate,overall_on_time_rate,conditional_on_time_rate,blocked_sec,makespan,mean_tardy_over_completed_sec,mean_tardy_over_late_sec
0,0,EDD,1,,0.58071,0.51524,0.88725,,424786.3,19625.03,174056.19
0,0,COLOR_GROUP,1,,0.58071,0.51524,0.88725,,424786.3,19554.46,173430.33
0,0,LOAD_BALANCE,1,,0.58071,0.51524,0.88725,,424786.3,19617.95,173993.4
0,0,OPTIMIZED,1,,0.62738,0.59381,0.94649,,424761.2,4480.4,83729.43
1,1,EDD,1,,0.57881,0.515,0.88976,,424658.2,20221.89,183430.65
1,1,COLOR_GROUP,1,,0.57881,0.515,0.88976,,424658.2,20216.75,183384.07
1,1,LOAD_BALANCE,1,,0.57881,0.515,0.88976,,424658.2,20210.0,183322.81
1,1,OPTIMIZED,1,,0.62786,0.59476,0.94729,,424746.73,4410.22,83667.28
2,2,EDD,1,,0.57738,0.51524,0.89237,,424698.09,19181.4,178218.02
2,2,COLOR_GROUP,1,,0.57738,0.51524,0.89237,,424698.09,19166.63,178080.76
2,2,LOAD_BALANCE,1,,0.57738,0.51524,0.89237,,424698.09,19177.42,178181.0
2,2,OPTIMIZED,1,,0.62738,0.59476,0.94801,,424769.82,4321.44,83116.68
3,3,EDD,1,,0.57548,0.51405,0.89326,,424666.02,19415.15,181885.31
3,3,COLOR_GROUP,1,,0.57548,0.51405,0.89326,,424666.02,19066.69,178620.91
3,3,LOAD_BALANCE,1,,0.57548,0.51405,0.89326,,424666.02,19378.53,181542.3
3,3,OPTIMIZED,1,,0.62762,0.595,0.94803,,424743.57,4360.34,83896.82
4,4,EDD,1,,0.5769,0.51452,0.89187,2221.95,424632.2,19076.93,176425.16
4,4,COLOR_GROUP,1,,0.5769,0.51452,0.89187,9489.57,424632.2,19041.23,176095.0
4,4,LOAD_BALANCE,1,,0.5769,0.51452,0.89187,1963.91,424632.2,18973.78,175471.22
4,4,OPTIMIZED,1,,0.62619,0.59381,0.94829,1919.73,424753.08,4504.9,87116.84
5,5,EDD,1,,0.57381,0.51452,0.89668,,424781.67,16924.02,163802.81
5,5,COLOR_GROUP,1,,0.57381,0.51452,0.89668,,424781.67,16857.22,163156.24
5,5,LOAD_BALANCE,1,,0.57381,0.51452,0.89668,,424781.67,16916.97,163734.51
5,5,OPTIMIZED,1,,0.62405,0.59048,0.9462,,424784.58,4419.9,82159.89
6,6,EDD,1,,0.58095,0.51405,0.88484,,424786.34,20904.26,181517.42
6,6,COLOR_GROUP,1,,0.58095,0.51405,0.88484,,424786.34,20891.26,181404.5
6,6,LOAD_BALANCE,1,,0.58095,0.51405,0.88484,,424786.34,20890.6,181398.84
6,6,OPTIMIZED,1,,0.6281,0.59452,0.94655,,424784.45,4453.39,83319.43
7,7,EDD,1,,0.58024,0.51381,0.88551,,424799.3,19965.33,174392.51
7,7,COLOR_GROUP,1,,0.58024,0.51381,0.88551,,424799.3,19948.31,174243.85
7,7,LOAD_BALANCE,1,,0.58024,0.51381,0.88551,,424799.3,19921.51,174009.77
7,7,OPTIMIZED,1,,0.62833,0.595,0.94695,,424743.29,4280.6,80689.39
8,8,EDD,1,,0.57595,0.51381,0.8921,,424675.92,19341.61,179261.93
8,8,COLOR_GROUP,1,,0.57595,0.51381,0.8921,,424675.92,19320.95,179070.38
8,8,LOAD_BALANCE,1,,0.57595,0.51381,0.8921,,424675.92,19335.94,179209.38
8,8,OPTIMIZED,1,,0.6281,0.59476,0.94693,,424746.39,4279.62,80640.27
9,9,EDD,1,,0.58143,0.51548,0.88657,,424644.74,19424.39,171243.19
9,9,COLOR_GROUP,1,,0.58143,0.51595,0.88739,,424644.74,19337.19,171714.22
9,9,LOAD_BALANCE,1,,0.58143,0.51548,0.88657,,424644.74,19394.5,170979.7
9,9,OPTIMIZED,1,,0.62786,0.59476,0.94729,,424750.1,4296.7,81513.6
10,10,EDD,1,,0.57595,0.515,0.89417,,424784.55,18569.39,175466.27
10,10,COLOR_GROUP,1,,0.57595,0.515,0.89417,,424784.55,18568.01,175453.2
10,10,LOAD_BALANCE,1,,0.57619,0.515,0.8938,,424776.53,18687.65,175969.32
10,10,OPTIMIZED,1,,0.62905,0.59524,0.94625,,424756.53,4224.72,78603.68
11,11,EDD,1,,0.57833,0.51452,0.88967,,424607.11,19581.72,177477.62
11,11,COLOR_GROUP,1,,0.57833,0.51452,0.88967,,424607.11,19575.69,177422.98
11,11,LOAD_BALANCE,1,,0.57833,0.51452,0.88967,,424607.11,19553.49,177221.78
11,11,OPTIMIZED,1,,0.62786,0.59476,0.94729,,424783.22,4346.62,82460.64
12,12,EDD,1,,0.58,0.515,0.88793,,424786.72,19849.13,177115.31
12,12,COLOR_GROUP,1,,0.58,0.515,0.88793,,424786.72,19623.85,175105.15
12,12,LOAD_BALANCE,1,,0.58,0.515,0.88793,,424786.72,19817.78,176835.61
12,12,OPTIMIZED,1,,0.6281,0.59548,0.94807,,424786.24,4220.77,81272.89
13,13,EDD,1,,0.57929,0.515,0.88903,,424654.58,19124.46,172332.64
13,13,COLOR_GROUP,1,,0.57929,0.515,0.88903,,424654.58,19123.04,172319.83
13,13,LOAD_BALANCE,1,,0.57929,0.515,0.88903,,424654.58,19116.28,172258.94
13,13,OPTIMIZED,1,,0.62857,0.595,0.94659,,424782.98,4434.44,83027.88
14,14,EDD,1,,0.56143,0.51238,0.91264,,424670.95,13534.29,154921.63
14,14,COLOR_GROUP,1,,0.56143,0.51238,0.91264,,424670.95,13377.24,153123.89
14,14,LOAD_BALANCE,1,,0.56143,0.51238,0.91264,,424670.95,13533.41,154911.56
14,14,OPTIMIZED,1,,0.6219,0.58952,0.94793,,424758.52,4353.72,83617.0
15,15,EDD,1,,0.57048,0.51429,0.9015,,424674.91,17131.74,173930.76
15,15,COLOR_GROUP,1,,0.57048,0.51429,0.9015,,424674.91,17103.55,173644.52
15,15,LOAD_BALANCE,1,,0.57048,0.51429,0.9015,,424674.91,17114.44,173755.05
15,15,OPTIMIZED,1,,0.62595,0.59286,0.94713,,424742.53,4166.59,78805.46
16,16,EDD,1,,0.57548,0.51381,0.89284,,424631.3,19179.97,178988.4
16,16,COLOR_GROUP,1,,0.57548,0.51405,0.89326,,424631.3,18888.28,176949.54
16,16,LOAD_BALANCE,1,,0.57548,0.51381,0.89284,,424631.3,19143.29,178646.1
16,16,OPTIMIZED,1,,0.62262,0.59429,0.95449,,424781.61,4245.53,93294.62
17,17,EDD,1,,0.56762,0.515,0.9073,,424798.9,15823.0,170687.95
17,17,COLOR_GROUP,1,,0.56762,0.515,0.9073,,424798.9,15771.3,170130.2
17,17,LOAD_BALANCE,1,,0.56762,0.515,0.9073,,424798.9,15807.16,170517.08
17,17,OPTIMIZED,1,,0.62048,0.59405,0.95741,,424769.25,4062.1,95367.8
18,18,EDD,1,,0.58048,0.50976,0.87818,,424760.4,21065.82,172924.13
18,18,COLOR_GROUP,1,,0.58048,0.51524,0.88761,,424760.4,20149.88,179289.79
18,18,LOAD_BALANCE,1,,0.58048,0.50976,0.87818,,424760.4,20982.62,172241.14
18,18,OPTIMIZED,1,,0.6269,0.58548,0.93392,2915.44,424778.88,5278.27,79871.75
19,19,EDD,1,,0.58048,0.51524,0.88761,,424744.6,19591.08,174317.68
19,19,COLOR_GROUP,1,,0.58048,0.51524,0.88761,,424744.6,19588.51,174294.81
19,19,LOAD_BALANCE,1,,0.58048,0.51524,0.88761,,424744.6,19589.34,174302.19
19,19,OPTIMIZED,1,,0.62762,0.595,0.94803,,424776.31,4373.61,84152.09
20,20,EDD,1,,0.56238,0.50548,0.89881,,424767.2,16866.17,166685.79
20,20,COLOR_GROUP,1,,0.56238,0.50571,0.89924,,424767.2,15518.22,154008.56
